param_code,param_name,param_short,param_alt_name,cas,units,code_is_valid,round_truncate
17827,Total pentachlorodibenzofuran (TSP) STP,FURN3,NA,30402-15-4,Pg/cubic meter(25 C),TRUE,R
11104,Total polynuclear hydrocarbons,PNHC,NA,130498-29-2,Micrograms/cubic meter (25 C),TRUE,R
43911,Total reduced sulfur,TRS,NA,18496-25-8,Parts per million,TRUE,R
42269,Total sulfur,TS,NA,7704-34-9,Parts per million,TRUE,R
17820,Total tetachlorodibenzo-p-dioxin (TSP) STP,DIOX2,NA,41903-57-5,Pg/cubic meter(25 C),TRUE,R
17826,Total tetrachlorodibenzofuran (TSP) STP,FURN2,NA,30402-14-3,Pg/cubic meter(25 C),TRUE,R
21116,Total Weight Ash (SP),ASH,NA,NA,Grams/sq meter/month,TRUE,R
43838,"trans-1,2-Dichloroethylene",NA,NA,156-60-5,Parts per billion Carbon,TRUE,R
43830,"trans-1,3-Dichloropropene",NA,"1-Propene,1,3-dichloro-,(1E)-",10061-02-6,Parts per billion Carbon,TRUE,R
43394,"trans-1,3-Dimethylcyclopentane",T13DM,NA,1759-58-6,Parts per billion Carbon,TRUE,R
43216,trans-2-Butene,T2BTE,NA,624-64-6,Parts per billion Carbon,TRUE,R
43289,trans-2-Hexene,T2HEX,NA,4050-45-7,Parts per billion Carbon,TRUE,R
43226,trans-2-Pentene,T2PNE,NA,646-04-8,Parts per billion Carbon,TRUE,R
43516,Trans-Crotonaldehyde,NA,"2-Butenal,(2E)-",123-73-9,Parts per billion Carbon,TRUE,R
17801,Trichlorobenzene (TSP) STP,CLB1,"Benzene, trichloro-",12002-48-1,Nanograms/cubic meter (25 C),TRUE,R
17811,Trichlorobiphenyl (TSP) STP,NA,NA,25323-68-6,Pg/cubic meter(25 C),TRUE,R
43824,Trichloroethylene,3CLET,"Ethene,trichloro-",79-01-6,Parts per billion Carbon,TRUE,R
43811,Trichlorofluoromethane,NA,"Methane,trichlorofluoro-",75-69-4,Parts per billion Carbon,TRUE,R
17806,Trichlorophenol (TSP) STP,CLP6,NA,25167-82-2,Nanograms/cubic meter (25 C),TRUE,R
43851,Trichlorotrifluoroethane,NA,NA,26523-64-8,Parts per billion Carbon,FALSE,R
43526,Tridecanal,NA,Tridecylaldehye,10486-19-8,Parts per billion Carbon,TRUE,R
43142,Tridecene,NA,NA,2437-56-1,Parts per billion Carbon,TRUE,R
16117,Tridymite,NA,NA,15468-32-3,Picocuries/cubic meter,FALSE,R
12178,Tungsten (TSP) STP,NA,NA,7440-33-7,Micrograms/cubic meter (25 C),TRUE,R
88186,Tungsten PM2.5 LC,NA,NA,7440-33-7,Micrograms/cubic meter (LC),TRUE,R
63302,Ultraviolet radiation,UVRD,NA,NA,Langleys/minute,TRUE,R
63304,Ultraviolet radiation (type B),UV-B,NA,NA,Watts/sq meter,TRUE,R
43527,Undecanal,NA,Undecyaldehyde,112-44-7,Parts per billion Carbon,TRUE,R
43131,Unidentified VOC,NA,NA,NA,Parts per billion Carbon,TRUE,R
12179,Uranium (TSP) STP,NA,NA,7440-61-1,Micrograms/cubic meter (25 C),TRUE,R
85179,Uranium PM10 LC,NA,NA,7440-61-1,Nanograms/cubic meter (LC),TRUE,R
82179,Uranium PM10 STP,UPM10,NA,7440-61-1,Nanograms/cubic meter (25 C),TRUE,R
83179,Uranium PM10-2.5 STP,UPMC,NA,7440-61-1,Micrograms/cubic meter (25 C),TRUE,R
88179,Uranium PM2.5 LC,NA,NA,7440-61-1,Micrograms/cubic meter (LC),TRUE,R
84179,Uranium PM2.5 STP,UFMC,NA,7440-61-1,Micrograms/cubic meter (25 C),TRUE,R
88366,UV Carbon PM 2.5 at 375 nm,NA,NA,NA,Micrograms/cubic meter (LC),FALSE,NA
88314,UV Carbon PM2.5 at 370 nm,NA,NA,7440-44-0,Micrograms/cubic meter (LC),TRUE,R
84314,UV Carbon PM2.5 STP,NA,NA,7440-44-0,Micrograms/cubic meter (25 C),TRUE,R
43518,Valeraldehyde,VALDH,Pentanal,110-62-3,Parts per billion Carbon,TRUE,R
65164,Vanadium (precip),VA PC,NA,7440-62-2,Milligrams/liter,TRUE,R
14164,Vanadium (TSP) LC,NA,NA,7440-62-2,Micrograms/cubic meter (LC),TRUE,R
12164,Vanadium (TSP) STP,V-PT,NA,7440-62-2,Micrograms/cubic meter (25 C),TRUE,R
11362,Vanadium - 51 (TSP),NA,NA,7440-62-2,Micrograms/cubic meter (25 C),TRUE,R
85164,Vanadium PM10 LC,NA,NA,7440-62-2,Nanograms/cubic meter (LC),TRUE,R
82164,Vanadium PM10 STP,V-PM,NA,7440-62-2,Nanograms/cubic meter (25 C),TRUE,R
86164,Vanadium PM10-2.5 LC,NA,NA,7440-62-2,Micrograms/cubic meter (LC),TRUE,R
83164,Vanadium PM10-2.5 STP,VPMC,NA,7440-62-2,Micrograms/cubic meter (25 C),TRUE,R
88164,Vanadium PM2.5 LC,NA,NA,7440-62-2,Micrograms/cubic meter (LC),TRUE,R
84164,Vanadium PM2.5 STP,VFMC,NA,7440-62-2,Micrograms/cubic meter (25 C),TRUE,R
61112,Vert Wind Direction,VWD,NA,NA,Degrees Compass,TRUE,R
61109,Vertical Wind Speed,VWS,NA,NA,Knots,TRUE,R
43447,Vinyl acetate,VA,Acetic acid ethenyl ester,108-05-4,Parts per billion Carbon,TRUE,R
43861,Vinyl bromide,VB,"Ethene,bromo-",593-60-2,Parts per billion Carbon,TRUE,R
43860,Vinyl chloride,VC,"Ethene,chloro-",75-01-4,Parts per billion Carbon,TRUE,R
62102,Virtual Temperature,V.TMP,NA,NA,Degrees Fahrenheit,TRUE,R
63101,Visibility,VISI,NA,NA,Miles (visibility),TRUE,R
85309,Volatile nitrate PM10 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
86309,Volatile nitrate PM10-2.5 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
88309,Volatile Nitrate PM2.5 LC,NA,NA,14797-55-8,Micrograms/cubic meter (LC),TRUE,R
43104,Volatile organic compounds,VOC,NA,NA,Parts per billion Carbon,TRUE,R
65301,Volume (precip),PVLM,NA,NA,Millimeters (rainfall),TRUE,R
21118,Water Inso Ash (SP),ASHI,NA,NA,Grams/sq meter/month,TRUE,R
21115,Water Insol Wt (SP),H2OI,NA,NA,Grams/sq meter/month,TRUE,R
21117,Water Sol Ash (SP),ASHS,NA,NA,Grams/sq meter/month,TRUE,R
21114,Water Sol Weight (SP),H2OS,NA,NA,Grams/sq meter/month,TRUE,R
61104,Wind Direction - Resultant,WD-R,NA,NA,Degrees Compass,TRUE,R
61102,Wind Direction - Scalar,WD-S,NA,NA,Degrees Compass,TRUE,R
61103,Wind Speed - Resultant,WS-R,NA,NA,Knots,TRUE,R
61101,Wind Speed - Scalar,WS-S,NA,NA,Knots,TRUE,R
11114,Windblown particulate,WBPT,NA,NA,Particles/sq millimeter/week,TRUE,R
45102,Xylene(s),XYLS,"benzene, dimethyl-",1330-20-7,Parts per billion Carbon,TRUE,R
14183,Yttrium (TSP) LC,NA,NA,NA,Micrograms/cubic meter (LC),TRUE,NA
12183,Yttrium (TSP) STP,Y-PT,NA,7440-65-5,Micrograms/cubic meter (25 C),TRUE,R
85183,Yttrium PM10 LC,NA,NA,7440-65-5,Nanograms/cubic meter (LC),TRUE,R
82183,Yttrium PM10 STP,YPM10,NA,7440-65-5,Nanograms/cubic meter (25 C),TRUE,R
83183,Yttrium PM10-2.5 STP,YPMC,NA,7440-65-5,Micrograms/cubic meter (25 C),TRUE,R
88183,Yttrium PM2.5 LC,NA,NA,7440-65-5,Micrograms/cubic meter (LC),TRUE,R
84183,Yttrium PM2.5 STP,YFMC,NA,7440-65-5,Micrograms/cubic meter (25 C),TRUE,R
65338,Zinc (precip),PZN,NA,7440-66-6,Ug/sq meter/hour,TRUE,R
22167,Zinc (SP),SPZNS,NA,7440-66-6,Grams/sq meter/month,TRUE,R
14167,Zinc (TSP) LC,NA,NA,7440-66-6,Micrograms/cubic meter (LC),TRUE,R
12167,Zinc (TSP) STP,ZN,NA,7440-66-6,Micrograms/cubic meter (25 C),TRUE,R
11360,Zinc - 64 (TSP),NA,NA,14378-32-6,Micrograms/cubic meter (25 C),TRUE,R
11357,Zinc - 66 (TSP),NA,NA,14378-33-7,Micrograms/cubic meter (25 C),TRUE,R
85167,Zinc PM10 LC,NA,NA,7440-66-6,Nanograms/cubic meter (LC),TRUE,R
82167,Zinc PM10 STP,ZN-PM,NA,7440-66-6,Nanograms/cubic meter (25 C),TRUE,R
86167,Zinc PM10-2.5 LC,NA,NA,7440-66-6,Micrograms/cubic meter (LC),TRUE,R
